,Title,Description,Genre,Rated,Type,Running Time,Release Date,Director,Cast,Country,Production Company,Wins_Nominations,IMDb Votes,IMDb Score
768,Jaadugar,"Magic Meenu, a small-time magician in Neemuch, M.P., has to win a local football tournament in order to marry the girl he loves.","Comedy, Drama, Fantasy",Mature Audiences,movie,166,2022-01-01,Sameer Saxena,"Jitendra Kumar, Arushi Sharma, Jaaved Jaaferi",India,Posham Pa Pictures,1 win & 2 nominations,"11,254",6.9
769,Persuasion,"Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?","Drama, Romance",Parental Guidance,movie,109,2022-01-01,Carrie Cracknell,"Richard E. Grant, Henry Golding, Ben Bailey Smith",United States,"['MRC', 'Bisous Pictures', 'Mad Chance', 'Fourth and Twenty Eight Films']",1 win,"33,312",5.8
770,The Gray Man,"When the CIA's most skilled operative, whose true identity is known to none, accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assas...","Action, Thriller",Parental Guidance,movie,129,2022-01-01,Anthony Russo Joe Russo,"Ryan Gosling, Chris Evans, Ana de Armas","United States, Czech Republic","['AGBO', 'Roth/Kirschenbaum Films']",2 nominations,"225,370",6.5
771,Purple Hearts,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits, but when tragedy strikes, the line between real and pretend begins to blur.","Drama, Music, Romance",Mature Audiences,movie,122,2022-01-01,Elizabeth Allen Rosenbaum,"Sofia Carson, Nicholas Galitzine, Chosen Jacobs",United States,"['Alloy Entertainment', 'Netflix', 'Embankment Films']",1 win & 1 nomination,"46,663",6.7
773,Wedding Season,"Pressured by their parents to find spouses, Asha and Ravi pretend to date during a summer of weddings, only to find themselves falling for each other.","Comedy, Romance",Parental Guidance,movie,98,2022-01-01,Tom Dey,"Pallavi Sharda, Suraj Sharma, Arianna Afsar",United States,"['Jax Media', 'Samosa Stories', 'Imagine Entertainment']",1 win & 2 nominations,"10,476",6.3
774,Carter,"Thrown straight into a dangerous mission with none of his memories intact, a man must escape death while trying to figure out who he is, how he ended up here, and who is the mysterious voice in his ear calling him ""Carter""?","Action, Thriller",Mature Audiences,movie,132,2022-01-01,Jung Byung-gil,"Joo Won, Kim Bo-Min, Sung-Jae Lee",South Korea,,,"9,500",5.1
775,Darlings,It follows the lives of two women as they find courage and love in exceptional circumstances.,"Comedy, Drama, Thriller",Mature Audiences,movie,134,2022-01-01,Jasmeet K. Reen,"Alia Bhatt, Shefali Shah, Vijay Varma",India,Red Chillies Entertainment Eternal Sunshine Productions,11 wins & 27 nominations,"20,304",6.6
776,Rise of the Teenage Mutant Ninja Turtles: The Movie,"When a mysterious stranger arrives from the future with a dire warning, Leo is forced to rise and lead his brothers, Raph, Donnie, and Mikey in a fight to save the world from a terrifying alien species.","Animation, Action, Adventure",Parental Guidance,movie,82,2022-01-01,"['Andy Suriano', 'Ant Ward']","Ben Schwartz, Omar Benson Miller, Brandon Mychal Smith","United States, Germany, Philippines, Belgium, Canada, India",['Nickelodeon Movies'],1 win & 1 nomination,"6,387",6.1
777,13: The Musical,"After his parents' divorce, Evan Goldman moves from NYC to small-town Indiana. As his 13th birthday nears, he must master the complex social circles of his new school and win friends by turning his Bar Mitzvah into the coolest par...","Comedy, Drama, Family",Parental Guidance,movie,94,2022-01-01,Tamra Davis,"Eli Golden, Josh Peck, Debra Messing",United States,Zadan/Meron Productions,1 win,939,5.3
778,Day Shift,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.","Action, Comedy, Fantasy",Mature Audiences,movie,114,2022-01-01,J. J. Perry,"Jamie Foxx, Dave Franco, Natasha Liu Bordizzo",United States,"['87Eleven Productions', 'Impossible Dream Entertainment']",,"86,177",6.1
779,Look Both Ways,"On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career.","Comedy, Drama, Romance",Mature Audiences,movie,110,2022-01-01,Wanuri Kahiu,"Lili Reinhart, Danny Ramirez, Aisha Dee",United States,"['Screen Arcade', 'CatchLight Studios']",,"22,655",6.3
780,The Next 365 Days,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.,"Drama, Romance",Mature Audiences,movie,113,2022-01-01,"['Barbara Białowąs', 'Tomasz Mandes']","Anna-Maria Sieklucka, Michele Morrone, Simone Susinna",Poland,"['Open Mind One', 'Ekipa']",2 nominations,"8,646",2.8
781,Me Time,"When a stay-at-home dad who dedicates all his time to his children is persuaded to take time off for himself, he gets mixed up in the wild shenanigans of his childhood friend who's celebrating his 44th birthday.",Comedy,Mature Audiences,movie,101,2022-01-01,John Hamburg,"Kevin Hart, Mark Wahlberg, Regina Hall",United States,"['Particular Pictures', 'HartBeat Productions']",,"38,345",5.1
782,Seoul Vibe,The drivers of the Sanggye-dong Supreme Team become mired in the slush fund investigation of a powerful person on the very day of the 1988 Seoul Olympics opening ceremony.,"Action, Comedy, Crime",Mature Audiences,movie,138,2022-01-01,Moon Hyun-sung,"Yoo Ah-in, Go Kyung-Pyo, Lee Kyoo-hyung",South Korea,"['Andmarq Studio', 'MCMC', 'United Artist Agency']",,"1,952",5.5
783,I Came By,Follows a young graffiti artist who discovers a shocking secret that would put him and the ones closest to him in danger.,Thriller,Mature Audiences,movie,110,2022-01-01,,"Antonio Aakeel, Alicia Ambrose-Bayly, Percelle Ascott",United Kingdom,"['Film4', 'Regency Enterprises', 'XYZ Films', 'Two & Two Pictures']",1 win,"31,279",6.2
784,End of the Road,"In this high-octane action thriller, a cross-country road trip becomes a highway to hell for Brenda and her family. Alone in the New Mexico desert, they have to fight for their lives when they become the targets of a mysterious ki...","Action, Crime, Drama",Mature Audiences,movie,91,2022-01-01,Millicent Shelton,"Queen Latifah, Ludacris, Mychala Lee",United States,"['Twisted Pictures', '42', 'Edmonds Entertainment', 'Serendipity Productions', 'Flavor Unit Entertainment']",1 win & 1 nomination,"8,395",4.8
785,Broad Peak,"After climbing Broad Peak mountain, Maciej Berbeka learns his journey to the summit is incomplete. 25 years later, he sets out to finish what he started.","Adventure, Biography, Drama",Mature Audiences,movie,102,2022-01-01,Leszek Dawid,"Ireneusz Czop, Maja Ostaszewska, Piotr Glowacki","Poland, Italy",East Studio,3 nominations,"1,899",6.0
786,Do Revenge,Drea and Eleanor agree to go after one another's bullies.,Comedy,Mature Audiences,movie,119,2022-01-01,Jennifer Kaytin Robinson,"Camila Mendes, Maya Hawke, Austin Abrams",United States,"['Likely Story', 'Little Darlings']",1 win & 4 nominations,"46,484",6.3
787,Drifting Home,Follows two childhood friends who drift into a mysterious sea with an entire housing complex.,"Animation, Adventure, Drama",Parental Guidance,movie,119,2022-01-01,Hiroyasu Ishida,"Mutsumi Tamura, Asami Seto, Ayumu Murase",Japan,Studio Colorido,1 nomination,"3,425",6.3
788,Jogi,"Amid tension in 1980s India, three friends of different faiths unite in a noble yet dangerous effort to save hundreds in their town.","Drama, Thriller",Mature Audiences,movie,116,2022-01-01,Ali Abbas Zafar,"Diljit Dosanjh, Kumud Mishra, Mohd. Zeeshan Ayyub",India,,1 win & 2 nominations,"6,178",7.2
789,A Jazzman's Blues,"Follows an investigation into an unsolved murder unveiling a story full of forbidden love, deceit and a secret.",Drama,Mature Audiences,movie,127,2022-01-01,Tyler Perry,"Joshua Boone, Amirah Vann, Solea Pfeiffer",United States,Tyler Perry Studios,1 win & 9 nominations,"4,020",6.7
790,Lou,"A storm rages. A young girl is kidnapped. Her mother teams up with the mysterious woman next door to pursue the kidnapper, a journey that tests their limits and exposes shocking secrets from their pasts.","Action, Adventure, Crime",Mature Audiences,movie,109,2022-01-01,,"Allison Janney, Jurnee Smollett, Logan Marshall-Green",United States,Bad Robot Productions,1 win,"31,657",6.1
791,Athena,"Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos.","Action, Drama, Thriller",Mature Audiences,movie,99,2022-01-01,Romain Gavras,"Dali Benssalah, Sami Slimane, Anthony Bajon",France,"['Iconoclast', 'Lyly Films']",3 wins & 8 nominations,"20,710",6.8
792,Blonde,"The story of American actress Marilyn Monroe, covering her love and professional lives.","Drama, History",Mature Audiences,movie,166,2022-01-01,Andrew Dominik,"Ana de Armas, Lily Fisher, Julianne Nicholson",United States,Plan B Entertainment,Nominated for 1 Oscar. 12 wins & 28 nominations total,"68,566",5.5
793,Aníkúlápó,"It tells the story of Saro, a man seeking for greener pasture, but unfolding events and his affair with the king's wife, he encounters his untimely death and with Akala, a mystical bird believed to give and take life.","Drama, Fantasy",Mature Audiences,movie,111,2022-01-01,Kunle Afolayan,"Adebowale Adedayo, Aderemi Adedeji, Bimbo Ademoye",Nigeria,KAP Productions,,439,5.5
794,Plan A Plan B,"Follows a matchmaker who believes marriage is for everyone except herself, and a successful divorce lawyer with a secret, who cross paths, and explores if opposites coexist or attract.","Comedy, Romance",Mature Audiences,movie,106,2022-01-01,Shashanka Ghosh,"Riteish Deshmukh, Tamannaah Bhatia, Poonam Dhillon",India,India Stories Media & Entertainment Pvt Ltd Funk Your Blues Entertainment Pvt Ltd,1 win & 1 nomination,"2,290",4.6
795,Rainbow,"Believing actor and goodwill ambassador Shah Rukh Khan can help her brother get an operation to restore his sight, a 10-year old girl takes her blind 8-year old brother on a trek across Rajasthan in search of the superstar.","Comedy, Drama",Not Rated,movie,118,2022-01-01,Paco León,"Hetal Gada, Krrish Chhabria, Vipin Sharma",India,"['Telecinco Cinema', 'Los amigos de Dorothy AIE', 'Andy Joke', 'Colosé Producciones']",4 wins & 5 nominations,"4,266",7.8
796,Jumping from High Places,"To honor her best friend's last wish, a young woman with severe anxiety confronts her greatest fears to try and reclaim her life — and perhaps find love.","Comedy, Drama, Romance",Mature Audiences,movie,88,2022-01-01,Andrea Jublin,"Federica Torchetti, Cristiano Caccamo, Celeste Savino",Italy,Lotus Production,,"1,052",5.7
797,Mr. Harrigan's Phone,"When Mr. Harrigan dies, Craig, the teen who befriended and did odd jobs for him, puts his smart phone in his pocket before burial. When the lonely youth sends his dead friend a message, he is shocked to get a return text.","Drama, Horror, Mystery",Parental Guidance,movie,106,2022-01-01,John Lee Hancock,"Donald Sutherland, Jaeden Martell, Joe Tippett",United States,"['Blumhouse Television', 'Ryan Murphy Productions']",,"36,189",6.0
798,Luckiest Girl Alive,"A woman in New York, who seems to have things under control, is faced with a trauma that makes her life unravel.","Drama, Mystery, Thriller",Mature Audiences,movie,113,2022-01-01,Mike Barker,"Mila Kunis, Chiara Aurelia, Finn Wittrock",United States,"['Picturestart', 'Made Up Stories', 'Orchard Farm Productions']",2 wins & 3 nominations,"53,294",6.4
799,The Curse of Bridge Hollow,"A teenage girl, who accidentally releases an ancient and mischievous spirit on Halloween which causes decorations to come alive and wreak havoc, must team up with the last person she'd want to in order to save their town - her fat...","Adventure, Comedy, Family",Mature Audiences,movie,89,2022-01-01,Jeff Wadlow,"Marlon Wayans, Priah Ferguson, Kelly Rowland",United States,Ugly Baby Productions,,"10,570",5.5
800,The School for Good and Evil,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,"Action, Comedy, Drama",Parental Guidance,movie,147,2022-01-01,Paul Feig,"Kit Young, Sophia Anne Caruso, Cate Blanchett",United States,"['Roth/Kirschenbaum Films', 'Feigco Entertainment', 'Jane Startz Productions']",1 win,"33,426",5.9
802,20th Century Girl,"In 1999, a teen with a heart of gold begins keeping close tabs on a popular classmate as a favor to her smitten best friend.","Drama, Romance",Parental Guidance,movie,119,2022-01-01,Bang Woo-ri,"Han Hyo-joo, Yuuki Luna, Harrison Xu",South Korea,Yong Film,,"7,341",7.3
803,Robbing Mussolini,A Milanese wartime entrepreneur forms a band of misfits and rogues to stage an elaborate heist of a legendary treasure belonging to Benito Mussolini.,"Action, Comedy, Crime",Mature Audiences,movie,90,2022-01-01,Renato De Maria,"Pietro Castellitto, Matilda De Angelis, Tommaso Ragno",Italy,,1 nomination,"2,390",5.4
804,The Good Nurse,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.,"Biography, Crime, Drama",Mature Audiences,movie,121,2022-01-01,Tobias Lindholm,"Eddie Redmayne, Jessica Chastain, Denise Pillott",United States,"['Protozoa Pictures', 'FilmNation Entertainment']",Nominated for 1 BAFTA Award3 wins & 8 nominations total,"74,143",6.8
805,All Quiet on the Western Front,A young German soldier's terrifying experiences and distress on the western front during World War I.,"Action, Drama, War",Mature Audiences,movie,147,2022-01-01,Edward Berger,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer","Germany, United States, United Kingdom",Amusement Park,Won 4 Oscars. 50 wins & 82 nominations total,"223,172",7.8
806,Wendell & Wild,"Two scheming demon brothers, Wendell and Wild, enlist the aid of 13-year-old Kat Elliot to summon them to the Land of the Living.","Animation, Adventure, Comedy",Parental Guidance,movie,105,2022-01-01,Henry Selick,"Lyric Ross, Keegan-Michael Key, Jordan Peele","United States, Ireland","['Netflix Animation', 'Monkeypaw Productions', 'Gotham Group']",3 wins & 24 nominations,"11,685",6.4
807,Wild Is the Wind,"Racial tensions and corruption come to a head in a small, segregated town after the police find the body of a young Afrikaner girl in the bush.","Crime, Drama",Mature Audiences,movie,123,2022-01-01,,"Mothusi Magano, Frank Rautenbach, Chris Chameleon",South Africa,Known Associates Entertainment,,"1,548",5.6
