,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score
534,Sweet & Sour,A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.,"Comedy, Romance",Parental Guidance,101,2002-01-01,Lee Gye-byeok,"Reese Witherspoon, Patrick Dempsey, Josh Lucas",United States,0,KT Hitel 26 Company Gyebyeok Mulsan,0,3,6,120306,6.2
535,Trippin' with the Kandasamys,"To rekindle their marriages, best friends-turned-in-laws Shanthi and Jennifer plan a couples' getaway. But it comes with all kinds of surprises.","Comedy, Romance",Mature Audiences,93,2021-01-01,Jayan Moodley,"Mariam Bassa, Rushil Juglall, Vashir Kemraj",South Africa,0,African Lotus Production Studios,0,0,0,407,5.1
536,Xtreme,"Two years after the murder of his son and father, a retired hitman sets in motion a carefully crafted revenge plan against the killer: his own brother.","Action, Crime, Drama",Mature Audiences,111,2021-01-01,Daniel Benmayor,"Teo García, Óscar Jaenada, Óscar Casas",Spain,0,Showrunner Films,0,0,0,4902,5.8
537,Awake,A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.,"Crime, Drama, Mystery",Mature Audiences,96,2007-01-01,Mark Raso,"Hayden Christensen, Jessica Alba, Terrence Howard",United States,0,Entertainment One,1,1,3,78951,6.5
538,Tragic Jungle,"To escape an arranged marriage, a woman flees into the depths of the Mayan jungle, where untamed nature merges the human and the supernatural.","Adventure, Drama, Mystery",Mature Audiences,96,2020-01-01,Yulene Olaizola,"Indira Rubie Andrewin, Gilberto Barraza, Mariano Tun Xool",Mexico,1,Malacosa Cine,1,6,17,1070,5.6
539,Skater Girl,"When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.","Drama, Family, Sport",Parental Guidance,107,2021-01-01,Manjari Makijany,"Waheeda Rehman, Amy Maghera, Sahidur Rahaman",United States,1,Skatepark Films,1,2,2,4781,6.6
540,Ali & Ratu Ratu Queens,"A biography of sports legend Muhammad Ali, focusing on his triumphs and controversies between 1964 and 1974.","Biography, Drama, Sport",Mature Audiences,100,2001-01-01,Lucky Kuswandi,"Will Smith, Jamie Foxx, Jon Voight",United States,0,Palari Films,0,10,27,103782,6.7
541,Jagame Thandhiram,"A nomadic gangster finds himself caught between good and evil in a fight for a place to call home. Starring Dhanush, Aishwarya Lekshmi and James Cosmo.","Action, Crime, Drama",Mature Audiences,158,2021-01-01,Karthik Subbaraj,"Dhanush, James Cosmo, Aishwarya Lekshmi",United Kingdom,1,YNOT Studios,0,0,0,12247,5.8
542,Good on Paper,"After years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful and possibly too good to be true.","Comedy, Romance",Not Rated,92,2021-01-01,Kimmy Gatewood,"Iliza Shlesinger, Britney Young, Christopher Nicholas Smith",United States,0,Burn Later Productions,1,0,0,13475,5.6
543,America: The Motion Picture,A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,"Animation, Action, Adventure",Mature Audiences,98,2021-01-01,Matt Thompson,"Channing Tatum, Jason Mantzoukas, Olivia Munn",Brazil,1,Netflix,1,0,0,7107,5.6
544,Fear Street Part One: 1994,A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.,"Drama, Horror, Mystery",Mature Audiences,107,2021-01-01,Leigh Janiak,"Kiana Madeira, Olivia Scott Welch, Benjamin Flores Jr.",United States,0,20th Century Studios,0,3,8,89778,6.2
545,The 8th Night,"With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth.","Horror, Thriller",Mature Audiences,115,2021-01-01,Kim Tae-hyoung,"Lee Sung-min, Park Hae-joon, Kim Yoo-jung",South Korea,0,Gom Pictures Gogo Studio,0,0,0,4069,5.3
546,Haseen Dillruba,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.","Crime, Drama, Mystery",Mature Audiences,136,2021-01-01,Vinil Mathew,"Taapsee Pannu, Vikrant Massey, Harshvardhan Rane",India,0,T-Series,0,7,16,28701,6.9
547,Fear Street Part Two: 1978,"Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.","Drama, Horror, Mystery",Mature Audiences,110,2021-01-01,Leigh Janiak,"Sadie Sink, Emily Rudd, Ryan Simpkins",United States,0,20th Century Studios,0,1,3,71746,6.7
548,Last Summer,"During summer vacation in a beachside town, 16-year-old Deniz seeks the affection of his childhood crush and navigates a love triangle.","Drama, Romance",Mature Audiences,101,2021-01-01,Ozan Açıktan,"Fatih Berk Sahin, Ece Çesmioglu, Halit Özgür Sari",Turkey,0,OG Medya,1,0,0,3313,6.3
549,A Classic Horror Story,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.","Drama, Horror, Mystery",Mature Audiences,95,2021-01-01,Roberto De Feo,"Matilda Anna Ingrid Lutz, Francesco Russo, Peppino Mazzotta",Italy,0,Colorado Film,0,1,5,20862,5.7
550,A Perfect Fit,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancé.","Comedy, Drama, Romance",Parental Guidance,112,2021-01-01,Hadrah Daeng Ratu,"Nadya Arina, Refal Hady, Giorgino Abraham",Indonesia,0,StarVision Plus,1,0,6,673,5.4
551,My Amanda,"Two unusually close friends share every aspect of their lives together. As their lives evolve, their bond remains the only constant.","Drama, Romance",Mature Audiences,89,2021-01-01,Alessandra de Rossi,"Alessandra De Rossi, Piolo Pascual, Luz Valdez",Philippines,0,Spring Films AWOO,0,2,14,366,5.8
552,Deep,Four insomniac med school students are lured into a neuroscience experiment that spirals out of control and must find a way out before it's too late.,"Drama, Mystery, Sci-Fi",Mature Audiences,101,2021-01-01,Sita Likitvanichkul,"Panisara Rikulsurakan, Kay Lertsittichai, Supanaree Sutavijitvong",Thailand,0,Transformation Films,0,0,0,1715,4.9
553,Fear Street: Part Three: 1666,The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.,"Horror, Mystery",Mature Audiences,114,2021-01-01,Leigh Janiak,"Kiana Madeira, Ashley Zukerman, Gillian Jacobs",United States,0,20th Century Studios,0,1,2,60023,6.6
554,Trollhunters: Rise of the Titans,The heroes from the Trollhunters series team-up on an epic adventure to fight the Arcane Order for control over the magic that binds them all.,"Animation, Action, Adventure",General Audiences,106,2021-01-01,Johane Matte,"Steve Alterman, Kay Bess, Brian Blessed",United States,1,DreamWorks Animation Television,1,0,4,5710,6.6
555,Blood Red Sky,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,"Action, Adventure, Drama",Mature Audiences,121,2021-01-01,Peter Thorwarth,"Peri Baumeister, Carl Anton Koch, Alexander Scheer",Germany,1,Rat Pack Filmproduktion,0,0,1,53011,6.1
556,Bankrolled,Two directionless millennial bros get high and pitch a bold new social justice app that raises millions. Now they have to come up with the app.,Comedy,Mature Audiences,97,2021-01-01,Marcos Bucay,"Aldo Escalante Ochoa, Ricardo Polanco, Natalia Téllez",Mexico,0,Fosforescente,1,0,0,345,4.1
557,Bartkowiak,"After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub and soon learns his sibling's death wasn't an accident.","Action, Crime, Sport",Mature Audiences,91,2021-01-01,Daniel Markowicz,"Józef Pawlowski, Zofia Domalik, Szymon Bobrowski",Poland,0,Lightcraft,0,0,0,1371,5.1
558,Resort to Love,"Erica, who ends up as the entertainment at her ex-fiancé's wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.","Comedy, Romance",Parental Guidance,101,2021-01-01,Steven Tsuchida,"Christina Milian, Tymberlee Hill, Kayne Lee Harrison",United States,0,AK Worldwide,1,1,0,6564,5.7
559,The Last Mercenary,"A mysterious former secret service agent must urgently return to France when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.","Action, Adventure, Comedy",Mature Audiences,110,2021-01-01,David Charhon,"Jean-Claude Van Damme, Alban Ivanov, Samir Decazza",France,0,No Production Company Listed,1,0,0,9452,5.3
560,The Kissing Booth 3,"It's the summer before Elle Evans is set to head off to college, and she has a big decision to make.","Comedy, Romance",Mature Audiences,113,2021-01-01,Vince Marcello,"Joey King, Joel Courtney, Jacob Elordi",United Kingdom,1,Picture Loom Productions,1,0,0,20138,4.8
561,Beckett,"Following a tragic car accident in Greece, an American tourist finds himself at the center of a dangerous political conspiracy and on the run for his life.","Action, Crime, Drama",Mature Audiences,108,2021-01-01,Ferdinando Cito Filomarino,"John David Washington, Boyd Holbrook, Vicky Krieps",Italy,1,Frenesy Film Company,1,0,1,27751,5.7
562,Black Island,The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.,"Drama, Mystery, Thriller",Mature Audiences,104,2021-01-01,Miguel Alexandre,"Philip Froissant, Alice Dwyer, Hanns Zischler",Germany,0,Netflix,1,0,0,3225,5.2
563,The Secret Diary of an Exchange Student,"Looking to shake things up, two best friends embark on a life-changing adventure abroad as exchange students. But can they stay out of trouble?","Comedy, Romance",Mature Audiences,96,2021-01-01,Bruno Garotti,"Larissa Manoela, Thati Lopes, Bruno Montaleone",Brazil,0,No Production Company Listed,1,1,0,1042,5.4
564,Sweet Girl,A devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left: his daughter.,"Action, Drama, Thriller",Mature Audiences,110,2021-01-01,Brian Andrew Mendoza,"Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo",United States,0,ASAP Entertainment,1,0,0,34222,5.5
565,The Loud House Movie,"With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey.","Animation, Adventure, Comedy",General Audiences,87,2021-01-01,Dave Needham,"Asher Bishop, David Tennant, Michelle Gomez",United States,1,Nickelodeon,0,0,2,2583,6.1
566,The Witcher: Nightmare of the Wolf,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.","Animation, Action, Adventure",Mature Audiences,83,2021-01-01,Kwang Il Han,"Theo James, Mary McDonnell, Lara Pulver",South Korea,1,Studio Mir,1,0,1,48493,7.2
567,He's All That,"A teenage girl sets out to give a nebbish classmate the ultimate high school makeover. An updated remake of the 1999 film, 'She's All That.'","Comedy, Romance",Mature Audiences,91,2021-01-01,Mark Waters,"Addison Rae, Tanner Buchanan, Madison Pettis",United States,0,Miramax,1,0,0,27452,4.4
568,Afterlife of the Party,"During her birthday week, a young female party planner unfortunately dies. Now she must assist a specific selection of people who were in her life in order to move herself to the Above (or Heaven).","Comedy, Drama, Fantasy",Parental Guidance,109,2021-01-01,Stephen Herek,"Victoria Justice, Midori Francis, Robyn Scott",United States,0,Front Row Films,1,1,0,10203,5.8
569,JJ+E,"Two youngsters are raised in the same city, yet they live light years apart, separated economically, socially and culturally. That is until the day they start in the same high school class.","Drama, Romance",Mature Audiences,90,2021-01-01,Alexis Almström,"Mustapha Aarab, Elsa Öhrn, Jonay Pineda Skallak",Sweden,0,Filmlance International AB,1,1,2,2166,5.4
570,Kate,A jaded assassin assigned to target a yakuza clan has 24 hours to find out who poisoned her and get vengeance before she dies.,"Action, Adventure, Crime",Mature Audiences,106,2021-01-01,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Woody Harrelson, Miku Martineau",United States,0,87North Productions,1,0,1,68024,6.2
571,Prey,"Naru, a skilled warrior of the Comanche Nation, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth.","Action, Adventure, Drama",Mature Audiences,87,2022-01-01,Thomas Sieben,"Amber Midthunder, Dakota Beavers, Dane DiLiegro",United States,0,Senator Film Produktion,0,7,29,213963,7.1
572,Nightbooks,"Alex, a boy obsessed with scary stories, is imprisoned by an evil young witch in her contemporary New York City apartment.","Family, Fantasy, Horror",Parental Guidance,103,2021-01-01,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",United States,0,Ghost House Pictures,1,0,1,10025,5.8
573,Ankahi Kahaniya,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.","Drama, Romance",Mature Audiences,110,2021-01-01,Abhishek Chaubey Saket Chaudhary Ashwiny Iyer Tiwari,"Abhishek Banerjee, T.J. Bhanu, Nikhil Dwivedi",India,0,RSVP Movies,0,0,1,980,5.5
574,Confessions of an Invisible Girl,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.","Comedy, Drama",Parental Guidance,91,2021-01-01,Bruno Garotti,"Lucca Picon, Marcus Bessa, Caio Cabral",Brazil,0,No Production Company Listed,1,0,2,1296,5.2
575,Intrusion,"A woman moves to a small town with her husband, but is rattled when she is targeted for a home invasion.","Action, Drama, Mystery",Mature Audiences,92,2021-01-01,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke",United States,0,Creator Media Entertainment,1,1,0,20041,5.3
576,The Starling,"After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity fo...","Comedy, Drama",Parental Guidance,103,2021-01-01,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline",United States,0,Limelight,1,2,0,14638,6.4
577,Friendzone,Hopeful romantic Thibault believes his luck could change when sparks fly between him and Rose. But can he go from bestie to boyfriend.,"Comedy, Romance",Mature Audiences,88,2021-01-01,Charles Van Tieghem,"Mickaël Lumière, Manon Azem, Fadily Camara",France,0,Telfrance,0,0,0,4152,5.9
578,No One Gets Out Alive,"After being forced to take a room in a boardinghouse, an immigrant in search of the American Dream finds herself in a nightmare she can't escape.","Drama, Horror, Mystery",Mature Audiences,87,2021-01-01,Santiago Menghini,"Phil Robertson, Joana Borja, Victoria Alcock",United Kingdom,0,The Imaginarium,0,0,0,19485,5.4
